time,DASH,NKN,ANKR,KNC,ADA,MANA,SKL,MATIC,XLM,UNI,LRC,CVC,DAI,ETC,XTZ,GRT,ALGO,BCH
14:23 23-04-2021,41.74,27.61,38.87,33.51,42.32,21.09,23.62,70.76,21.57,120.36,75.19,82.3,0.01,160.94,33.92,19.87,101.55
16:30 23-04-2021,41.26,27.04,38.87,33.35,42.32,21.09,24.24,73.29,21.57,121.23,77.17,82.3,0.01,159.87,33.92,20.43,102.65
18:35 23-04-2021,41.73,29.34,38.87,33.35,43.25,21.54,24.86,75.82,22.18,123.2,77.17,82.3,0.01,161.19,34.63,20.79,104.86
20:22 23-04-2021,42.64,28.77,38.87,34.33,44.65,22.44,25.49,78.34,22.8,126.09,79.15,84.59,0.01,168.3,35.16,21.16,108.17
22:25 23-04-2021,41.37,27.61,38.87,33.02,43.25,21.99,24.24,75.82,22.8,120.91,77.17,82.3,0.01,164.34,33.84,20.79,103.75
00:43 24-04-2021,41.11,27.04,38.87,33.18,43.25,21.54,24.24,78.34,22.8,120.77,75.19,82.3,0.01,163.83,34.01,20.61,102.65
02:37 24-04-2021,41.11,28.19,38.87,33.35,44.19,22.22,24.24,78.34,22.8,120.86,75.19,84.59,0.01,163.33,34.28,20.79,103.75
04:25 24-04-2021,41.37,28.77,38.87,33.84,44.19,22.44,24.86,78.34,22.8,122.6,77.17,86.87,0.01,165.59,34.72,20.98,104.86
06:25 24-04-2021,41.85,29.92,38.87,34.0,45.58,23.11,24.86,78.34,22.8,123.98,77.17,86.87,0.01,167.42,35.16,21.35,107.06
08:23 24-04-2021,41.58,28.77,38.87,34.0,46.05,22.89,24.86,78.34,22.8,122.97,77.17,86.87,0.01,167.73,35.07,20.98,107.06
10:22 24-04-2021,40.2,27.61,38.87,32.37,44.65,21.54,24.24,73.29,22.18,119.49,75.19,82.3,0.01,161.38,34.01,20.24,103.75
12:17 24-04-2021,39.87,27.04,38.87,31.88,43.25,21.09,23.62,73.29,21.57,116.24,73.21,82.3,0.01,158.3,33.04,19.69,100.46
14:22 24-04-2021,39.74,27.04,38.87,31.55,43.25,20.87,23.62,73.29,21.57,115.46,71.23,80.02,0.01,156.79,32.87,19.69,101.56
16:32 24-04-2021,40.46,27.61,38.87,32.53,43.72,21.32,23.62,73.29,22.18,117.47,73.21,82.3,0.01,159.24,33.31,20.06,101.56
18:34 24-04-2021,40.48,27.61,38.87,33.02,43.72,21.32,23.62,75.82,22.18,118.99,73.21,82.3,0.01,159.87,33.84,20.24,102.67
20:23 24-04-2021,39.78,27.04,38.87,32.53,43.25,21.09,23.62,75.82,21.57,117.47,73.21,80.02,0.01,159.49,33.31,19.87,101.56
22:22 24-04-2021,40.04,27.04,38.87,32.69,43.25,20.87,23.62,75.82,21.57,117.06,73.21,80.02,0.01,157.8,33.22,19.87,101.56
00:51 25-04-2021,41.07,25.89,35.34,32.04,42.32,20.42,23.0,75.82,22.18,114.77,71.23,80.02,0.01,154.78,32.69,19.14,99.35
02:47 25-04-2021,42.22,27.04,38.87,33.18,43.25,21.09,23.62,78.34,22.18,117.61,73.21,82.3,0.01,157.86,33.75,19.69,101.56
04:18 25-04-2021,41.3,27.04,35.34,32.37,42.32,20.42,23.0,75.82,21.57,114.86,71.23,80.02,0.01,154.72,32.6,19.14,99.35
06:15 25-04-2021,42.1,27.04,38.87,33.02,42.79,20.87,23.62,75.82,21.57,116.88,73.21,82.3,0.01,156.67,33.22,19.51,102.67
08:14 25-04-2021,41.79,26.46,38.87,32.86,42.79,20.87,23.0,75.82,21.57,115.96,71.23,82.3,0.01,153.96,33.13,19.32,101.56
10:13 25-04-2021,42.76,27.04,38.87,33.84,42.79,20.87,23.62,78.34,22.18,124.16,73.21,84.59,0.01,155.91,33.66,19.87,105.98
12:17 25-04-2021,42.76,29.34,38.87,34.49,43.25,21.32,24.24,80.87,22.18,127.37,73.21,84.59,0.01,158.8,34.01,20.06,106.0
14:12 25-04-2021,42.71,28.19,38.87,34.17,43.25,21.32,24.24,83.4,22.18,129.84,75.19,84.59,0.01,162.2,34.19,20.06,106.0
16:21 25-04-2021,42.92,29.92,38.87,34.82,43.72,21.77,24.24,83.4,22.8,130.3,75.19,86.87,0.01,163.71,34.8,20.61,107.1
18:25 25-04-2021,41.54,28.77,38.87,33.68,43.25,20.87,23.62,78.34,22.18,125.9,73.21,84.59,0.01,157.67,33.66,20.06,103.79
20:13 25-04-2021,41.05,28.77,38.87,33.18,42.79,20.64,23.62,78.34,22.18,126.5,73.21,82.3,0.01,155.72,33.48,19.69,103.79
22:15 25-04-2021,39.15,27.04,35.34,32.2,40.93,19.97,22.38,75.82,20.95,124.57,71.23,80.02,0.01,151.26,32.07,19.14,99.37
00:41 26-04-2021,41.58,29.34,38.87,34.49,43.25,21.09,23.62,85.92,21.57,135.39,75.19,84.59,0.01,159.12,33.84,20.24,103.79
02:41 26-04-2021,42.1,29.34,38.87,34.98,45.12,21.54,24.24,88.45,22.18,133.19,75.19,84.59,0.01,161.32,34.8,20.43,102.68
04:18 26-04-2021,42.97,29.34,38.87,35.64,45.58,21.77,24.86,101.09,22.8,134.47,77.17,89.16,0.01,163.27,35.33,21.35,106.0
06:16 26-04-2021,43.99,30.49,42.4,36.78,46.05,22.22,26.11,101.09,23.42,138.55,77.17,89.16,0.01,167.67,36.3,21.71,109.31
08:15 26-04-2021,43.71,29.34,38.87,36.13,46.05,22.22,26.11,108.67,23.42,134.79,77.17,91.45,0.01,165.15,36.39,22.08,108.2
10:14 26-04-2021,44.39,29.92,42.4,36.94,47.44,22.44,26.73,108.67,23.42,138.78,79.15,91.45,0.01,167.23,37.01,22.45,110.41
12:18 26-04-2021,44.29,29.92,42.4,36.45,47.91,22.89,27.97,101.09,24.03,135.8,79.15,93.73,0.01,166.54,37.18,22.63,112.62
